Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	Q9UHY7	Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1 PE=1 SV=1	FAUX	20.085	21	3	5	3	261	28.9	4.78	24.22	3	metabolic process	"cytoplasm;cytosol;nucleus"	"catalytic activity;metal ion binding"	Pf13419	58478	ENSG00000145293.15	ENOPH1	4	"Metabolic pathways; Cysteine and methionine metabolism"	Methionine salvage pathway		7	1.136	1.111	0.96	0.18	0.15	-0.06	0.625570665	0.664900813	0.822058627	0.955966264	0.986470615	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P26373	60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4	FAUX	20.046	21	6	21	6	211	24.2	11.65	44.9	6	"cell organization and biogenesis;metabolic process;transport"	"cytosol;membrane;nucleus;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf01294	6137	ENSG00000167526.13	RPL13	16	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.886	0.762	0.874	-0.18	-0.39	-0.19	0.317015172	0.540219315	0.906453639	0.790160239	0.957796538	0.995070945	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9UHB9	Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2	FAUX	20.031	13	6	9	6	627	70.7	8.56	15.98	6	"cell organization and biogenesis;response to stimulus;transport"	"cytoplasm;cytosol;endoplasmic reticulum;nucleus;ribosome"	"protein binding;RNA binding"		6730	ENSG00000167881.14	SRP68	17	Protein export	SRP-dependent cotranslational protein targeting to membrane		4	1.108	0.814	0.711	0.15	-0.3	-0.49	0.685776804	0.667928449	0.384056826	0.981851814	0.986470615	0.943216819	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y265	RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1	FAUX	20.009	13	5	9	5	456	50.2	6.42	21.64	5	"cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"catalytic activity;nucleotide binding;protein binding"	Pf00004, Pf01078, Pf01695, Pf05496, Pf06068, Pf06414, Pf07726, Pf13191, Pf13238, Pf13245, Pf13481	8607	ENSG00000175792.11	RUVBL1	3	Wnt signaling pathway	"Ub-specific processing proteases; UCH proteinases; DNA Damage Recognition in GG-NER; HATs acetylate histones; Formation of the beta-catenin:TCF transactivating complex; Telomere Extension By Telomerase; Deposition of new CENPA-containing nucleosomes at the centromere"	Gastric Cancer Network 1	25	1.06	0.963	0.912	0.08	-0.05	-0.13	0.942130166	0.969422525	0.971419193	0.998387812	0.99724633	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P52823	Stanniocalcin-1 OS=Homo sapiens OX=9606 GN=STC1 PE=1 SV=1	FAUX	20	13	3	8	3	247	27.6	7.99	26.13	3	"cell organization and biogenesis;cell proliferation;cellular homeostasis;regulation of biological process;response to stimulus"	"cytoplasm;extracellular;membrane;nucleus"	protein binding	Pf03298	6781	ENSG00000159167.11	STC1	8			Ectoderm Differentiation	1	6.408	4.212	0.688	2.68	2.07	-0.54	1E-17	3.76806E-05	0.322232701	1.41063E-15	0.001926589	0.897044113	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P35221	Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	FAUX	19.961	7	6	9	6	906	100	6.29	26.01	6	"cell organization and biogenesis;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;Golgi;membrane"	"protein binding;RNA binding;structural molecule activity"	Pf01044	1495	ENSG00000044115.20	CTNNA1	5	"Arrhythmogenic right ventricular cardiomyopathy (ARVC); Tight junction; Hippo signaling pathway; Endometrial cancer; Pathways in cancer; Adherens junction; Leukocyte transendothelial migration; Bacterial invasion of epithelial cells"	"Adherens junctions interactions; CDO in myogenesis; VEGFR2 mediated vascular permeability; RHO GTPases activate IQGAPs"	"Arrhythmogenic Right Ventricular Cardiomyopathy; Apoptosis-related network due to altered Notch3 in ovarian cancer; VEGFA-VEGFR2 Signaling Pathway; White fat cell differentiation"	27	1.072	0.861	0.81	0.1	-0.22	-0.3	0.855339552	0.785149696	0.690658476	0.997016351	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q8TEX9	Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2	FAUX	19.828	6	4	8	4	1081	118.6	4.96	22.48	4	"cell organization and biogenesis;transport"	"cytoplasm;membrane;nucleus"	"protein binding;transporter activity"	Pf01602, Pf13513, Pf13646	79711	ENSG00000196497.16	IPO4	14				0	0.98	1.279	1.283	-0.03	0.36	0.36	0.624470393	0.410482618	0.20031335	0.955966264	0.936691633	0.748521906	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q15435	Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1	FAUX	19.777	13	5	11	5	360	41.5	4.91	21.72	5	regulation of biological process	"chromosome;cytoplasm;nucleus"	"enzyme regulator activity;protein binding"	Pf12799, Pf13855, Pf14580	5510	ENSG00000115685.14	PPP1R7	2				0	1.333	1.265	1.089	0.41	0.34	0.12	0.117864428	0.428093104	0.49558913	0.488429024	0.93878328	0.957927416	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P0DP25	Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1	FAUX	19.76	28	5	14	5	149	16.8	4.22	38.54	5	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane"	"catalytic activity;enzyme regulator activity;metal ion binding;protein binding;transporter activity"	Pf00036, Pf08726, Pf12763, Pf13202, Pf13405, Pf13499, Pf13833, Pf14658	"808; 805; 801"	"ENSG00000160014.16; ENSG00000143933.16; ENSG00000198668.10"	"CALM3; CALM2; CALM1"	"19; 2; 14"	"Dopaminergic synapse; Phototransduction; Vascular smooth muscle contraction; Insulin signaling pathway; Amphetamine addiction; cGMP-PKG signaling pathway; Renin secretion; Neurotrophin signaling pathway; Rap1 signaling pathway; Oxytocin signaling pathway; Olfactory transduction; Circadian entrainment; Long-term potentiation; Glioma; Phosphatidylinositol signaling system; Adrenergic signaling in cardiomyocytes; Tuberculosis; Glucagon signaling pathway; Pertussis; Melanogenesis; Alzheimer's disease; Aldosterone synthesis and secretion; Oocyte meiosis; Gastric acid secretion; Salivary secretion; Inflammatory mediator regulation of TRP channels; Alcoholism; Ras signaling pathway; GnRH signaling pathway; cAMP signaling pathway; Estrogen signaling pathway; Calcium signaling pathway"	"Smooth Muscle Contraction; Uptake and function of anthrax toxins; Stimuli-sensing channels; Translocation of GLUT4 to the plasma membrane; Synthesis of IP3 and IP4 in the cytosol; Reduction of cytosolic Ca++ levels; CREB phosphorylation through the activation of CaMKII; Ion homeostasis; Ca2+ pathway; Phase 0 - rapid depolarisation; Calcineurin activates NFAT; Platelet degranulation ; eNOS activation; VEGFR2 mediated vascular permeability; VEGFR2 mediated cell proliferation; CaMK IV-mediated phosphorylation of CREB; Activation of CaMK IV; RAF/MAP kinase cascade; Inactivation, recovery and regulation of the phototransduction cascade; FCERI mediated Ca+2 mobilization; Cam-PDE 1 activation; Glycogen breakdown (glycogenolysis); Signaling by GPCR; Sodium/Calcium exchangers; Antigen activates B Cell Receptor (BCR) leading to generation of second messengers; Interleukin-20 family signaling; RHO GTPases activate PAKs; Protein methylation; DARPP-32 events; RHO GTPases activate IQGAPs; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; Ras activation uopn Ca2+ infux through NMDA receptor; PKA activation; Ion transport by P-type ATPases; Transcriptional activation of mitochondrial biogenesis; Activation of Ca-permeable Kainate Receptor; CLEC7A (Dectin-1) induces NFAT activation"	"Physiological and Pathological Hypertrophy  of the Heart; MicroRNAs in cardiomyocyte hypertrophy; Alzheimers Disease; Endothelin Pathways; T-Cell Receptor and Co-stimulatory Signaling; Common Pathways Underlying Drug Addiction; Cardiac Hypertrophic Response; Myometrial Relaxation and Contraction Pathways; Melatonin metabolism and effects; G Protein Signaling Pathways; T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection; Endochondral Ossification; Glycogen Metabolism; G13 Signaling Pathway; Calcium Regulation in the Cardiac Cell"	150	1.133	1.469	1.353	0.18	0.55	0.44	0.606019472	0.227935019	0.140673285	0.952804501	0.791460518	0.650613945	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y285	Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3	FAUX	19.756	11	5	9	5	508	57.5	7.8	30.53	5	"cell organization and biogenesis;metabolic process;regulation of biological process"	"cytoplasm;cytosol;membrane"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	Pf00152, Pf01409, Pf08279, Pf12802, Pf13463	2193	ENSG00000179115.10	FARSA	19	Aminoacyl-tRNA biosynthesis	Cytosolic tRNA aminoacylation		5	1.263	0.926	0.699	0.34	-0.11	-0.52	0.230654423	0.944267085	0.35149804	0.673463174	0.995066839	0.927872603	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P20700	Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2	FAUX	19.572	11	7	12	5	586	66.4	5.16	21.3	7	"regulation of biological process;response to stimulus"	"membrane;nucleus"	"catalytic activity;motor activity;protein binding;structural molecule activity"	Pf00038, Pf00932, Pf01576, Pf07888, Pf09726, Pf09731, Pf10186, Pf12128	4001	ENSG00000113368.11	LMNB1	5	Apoptosis	"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Breakdown of the nuclear lamina; Initiation of Nuclear Envelope Reformation; Clearance of Nuclear Envelope Membranes from Chromatin; Meiotic synapsis; Depolymerisation of the Nuclear Lamina; Formation of Senescence-Associated Heterochromatin Foci (SAHF); Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; Interleukin-12 family signaling"	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	34	1.378	8.397	5.206	0.46	3.07	2.38	0.146010705	1.63395E-09	1.67245E-10	0.545482629	3.68782E-07	3.43157E-08	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O14979	Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	FAUX	19.525	12	5	16	4	420	46.4	9.57	44.28	5	"metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus;spliceosomal complex"	"DNA binding;protein binding;RNA binding"	Pf00076, Pf08777, Pf13893, Pf14259	9987	ENSG00000152795.17	"HNRNPDL; HNRPDL"	4		"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 family signaling"		5	0.803	0.653	0.821	-0.32	-0.61	-0.28	0.095416568	0.299261421	0.728462215	0.43331025	0.873118619	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P61970	Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1	FAUX	19.492	46	3	7	3	127	14.5	5.38	26.85	3	"cell organization and biogenesis;regulation of biological process;transport"	"cytoplasm;cytosol;membrane;nucleus"	"protein binding;transporter activity"	Pf02136	10204	ENSG00000102898.11	NUTF2	16				0	0.99	0.569	0.604	-0.01	-0.81	-0.73	0.745989699	0.155848315	0.141684341	0.982227132	0.668725564	0.652615424	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P42025	Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1	FAUX	19.476	15	4	13	1	376	42.3	6.4	33.74	4	transport	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen"	"nucleotide binding;protein binding"	Pf00022	10120	ENSG00000115073.7	ACTR1B	2		"Neutrophil degranulation; MHC class II antigen presentation"		5	1.377	0.926	0.639	0.46	-0.11	-0.65	0.162969195	0.943817536	0.206725371	0.571962372	0.995066839	0.761039008	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	P20962	Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2	FAUX	19.431	24	3	10	3	102	11.5	4.16	34.59	3	metabolic process	nucleus			5763	ENSG00000159335.15	PTMS	12				0	1.797	0.902	0.522	0.85	-0.15	-0.94	0.000388943	0.885394874	0.045275419	0.004849972	0.992263517	0.340622066	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P83731	60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1	FAUX	19.393	22	4	13	4	157	17.8	11.25	38.7	4	"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport"	"cytoplasm;cytosol;membrane;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf01246	6152	ENSG00000114391.12	RPL24	3	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.868	0.712	0.83	-0.2	-0.49	-0.27	0.262925741	0.424070196	0.758386091	0.726598643	0.938722157	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P07741	Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2	FAUX	19.341	36	6	16	6	180	19.6	6.02	39.13	6	"metabolic process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;organelle lumen"	"catalytic activity;nucleotide binding"	Pf00156	353	ENSG00000198931.10	APRT	16	"Purine metabolism; Metabolic pathways"	"Neutrophil degranulation; Purine salvage"		9	1.018	0.641	0.622	0.03	-0.64	-0.68	0.873551624	0.276517298	0.174619531	0.997016351	0.858458791	0.710472351	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P48059	LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens OX=9606 GN=LIMS1 PE=1 SV=4	FAUX	19.328	23	6	7	6	325	37.2	8.05	14.37	6	"cell organization and biogenesis;regulation of biological process;response to stimulus"	"cytosol;membrane"	"metal ion binding;protein binding"	Pf00412	3987	ENSG00000169756.16	LIMS1	2		Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	Primary Focal Segmental Glomerulosclerosis FSGS	5	1.032	1.064	1.017	0.04	0.09	0.02	0.916426634	0.754498016	0.664055118	0.998387812	0.990871106	0.991557151	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	O43681	ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2	FAUX	19.322	21	6	14	6	348	38.8	4.91	36.23	6	transport	"cytoplasm;endoplasmic reticulum;membrane;nucleus"	"catalytic activity;metal ion binding;nucleotide binding;protein binding;transporter activity"	Pf02374	439	ENSG00000198356.11	ASNA1	19		XBP1(S) activates chaperone genes		4	1.192	0.935	0.754	0.25	-0.1	-0.41	0.427400321	0.963669009	0.510952641	0.871402461	0.996883827	0.964611673	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q92734	Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2	FAUX	19.257	13	5	13	5	400	43.4	5.1	35.37	5	"cell organization and biogenesis;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;endoplasmic reticulum;membrane"	"protein binding;signal transducer activity"	Pf00564, Pf08232	10342	ENSG00000114354.13	TFG	3	"Pathways in cancer; Thyroid cancer"	COPII (Coat Protein 2) Mediated Vesicle Transport		10	1.585	1.259	0.875	0.66	0.33	-0.19	0.011710018	0.436213711	0.906933045	0.097167319	0.941380919	0.995113214	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P06132	Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2	FAUX	19.215	15	4	11	4	367	40.8	6.14	33.19	4	metabolic process	"cytoplasm;cytosol"	"catalytic activity;protein binding"	Pf01208	7389	ENSG00000126088.13	UROD	1	"Porphyrin and chlorophyll metabolism; Metabolic pathways"	Heme biosynthesis	Heme Biosynthesis	6	1.118	0.956	0.888	0.16	-0.06	-0.17	0.676081289	0.986505408	0.952586505	0.978401657	0.998297142	0.998956223	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q96EK6	Glucosamine 6-phosphate N-acetyltransferase OS=Homo sapiens OX=9606 GN=GNPNAT1 PE=1 SV=1	FAUX	19.184	20	3	9	3	184	20.7	7.99	27.66	3	metabolic process	"cytosol;endosome;Golgi;membrane"	"catalytic activity;protein binding"	Pf00583, Pf13508	64841	ENSG00000100522.8	GNPNAT1	14	Amino sugar and nucleotide sugar metabolism	Synthesis of UDP-N-acetyl-glucosamine		7	0.842	0.528	0.628	-0.25	-0.92	-0.67	0.162085393	0.103740242	0.185750398	0.570176373	0.518012668	0.735506402	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9UHV9	Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1	FAUX	19.079	23	3	12	3	154	16.6	6.58	33.41	3	"metabolic process;regulation of biological process"	"cytoplasm;cytosol;mitochondrion;nucleus"	protein binding	Pf01920	5202	ENSG00000143256.4	PFDN2	1		Prefoldin mediated transfer of substrate  to CCT/TriC		5	1.002	0.599	0.607	0	-0.74	-0.72	0.773776475	0.201238811	0.147727738	0.982227132	0.743410743	0.666843009	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9UJU6	Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL PE=1 SV=1	FAUX	19.025	14	5	11	5	430	48.2	5.05	21.17	5	"cell organization and biogenesis;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;endosome;extracellular;Golgi;membrane;organelle lumen"	"enzyme regulator activity;protein binding"	Pf00018, Pf00241, Pf07653, Pf14604	28988	ENSG00000136279.20	DBNL	7		"Neutrophil degranulation; Caspase-mediated cleavage of cytoskeletal proteins; Neurexins and neuroligins"	T-Cell antigen Receptor (TCR)  Signaling Pathway	12	1.181	0.853	0.737	0.24	-0.23	-0.44	0.576643707	0.76599548	0.459042518	0.940200498	0.990871106	0.951640635	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9HB07	UPF0160 protein MYG1, mitochondrial OS=Homo sapiens OX=9606 GN=C12orf10 PE=1 SV=2	FAUX	18.989	19	5	9	5	376	42.4	6.67	26.5	5	response to stimulus	"mitochondrion;nucleus"		Pf03690	60314	ENSG00000139637.13	C12orf10	12				0	1.064	1.422	1.284	0.09	0.51	0.36	0.919378053	0.264101209	0.199136673	0.998387812	0.851756057	0.746597129	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P01034	Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1	FAUX	18.85	30	3	11	3	146	15.8	8.75	37.41	3	"cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;endoplasmic reticulum;endosome;extracellular;membrane;organelle lumen;vacuole"	"enzyme regulator activity;protein binding"	Pf00031	1471	ENSG00000101439.8	CST3	20	Salivary secretion	"Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Neutrophil degranulation; Amyloid fiber formation"		9	1.782	1.828	1.072	0.83	0.87	0.1	0.00035004	0.07020855	0.531912266	0.004438427	0.402184509	0.974171418	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q13155	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2	FAUX	18.822	17	4	10	4	320	35.3	8.22	27.45	4	"cell death;cell differentiation;cell organization and biogenesis;development;metabolic process;regulation of biological process"	"cytoplasm;cytosol;membrane;nucleus"	"protein binding;structural molecule activity"	Pf13410, Pf14497	7965	ENSG00000106305.9	AIMP2	7		"Cytosolic tRNA aminoacylation; SeMet incorporation into proteins"	"Osteoclast Signaling; Transcriptional activation by NRF2"	10	1.009	0.963	0.943	0.01	-0.05	-0.08	0.799527312	0.96985188	0.874712853	0.982546615	0.99724633	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O00764	Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	FAUX	18.798	20	5	11	5	312	35.1	6.13	28.14	5	"cell proliferation;metabolic process;transport"	"cytoplasm;cytosol;extracellular;nucleus;organelle lumen"	"catalytic activity;metal ion binding;nucleotide binding;protein binding"	Pf00294, Pf08543	8566	ENSG00000160209.18	PDXK	21	"Vitamin B6 metabolism; Metabolic pathways"	"Vitamins B6 activation to pyridoxal phosphate; Neutrophil degranulation"		9	1.084	1.088	1.012	0.12	0.12	0.02	0.795721143	0.708602018	0.678435145	0.982546615	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9NUU7	ATP-dependent RNA helicase DDX19A OS=Homo sapiens OX=9606 GN=DDX19A PE=1 SV=1	FAUX	18.74	14	6	9	6	478	53.9	6.58	14.53	6	"metabolic process;regulation of biological process;transport"	"cytoplasm;membrane;nucleus;spliceosomal complex"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	Pf00270, Pf00271	55308	ENSG00000168872.16	DDX19A	16				0	1.074	0.503	0.457	0.1	-0.99	-1.13	0.837057759	0.078584239	0.01294843	0.994035096	0.435785326	0.146629524	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
